category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal
symbol,0x40818C,None,.L0040818C,@branchlabel,None,None,None,0x4,0x818C,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x4081EC,None,.L004081EC,@branchlabel,None,None,None,0x4,0x81EC,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x408218,None,.L00408218,@branchlabel,None,None,None,0x4,0x8218,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40827C,None,.L0040827C,@branchlabel,None,None,None,0x4,0x827C,.text,True,False,True,False,4,None,False,False,False,False
symbol,0x4082F0,None,.L004082F0,@branchlabel,None,None,None,0x4,0x82F0,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x408340,None,.L00408340,@branchlabel,None,None,None,0x4,0x8340,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x4083E8,None,.L004083E8,@branchlabel,None,None,None,0x4,0x83E8,.text,True,False,True,False,4,None,False,False,False,False
symbol,0x408420,None,.L00408420,@branchlabel,None,None,None,0x4,0x8420,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x408454,None,.L00408454,@branchlabel,None,None,None,0x4,0x8454,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x40849C,None,.L0040849C,@branchlabel,None,None,None,0x4,0x849C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4084CC,None,.L004084CC,@branchlabel,None,None,None,0x4,0x84CC,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x408510,None,.L00408510,@branchlabel,None,None,None,0x4,0x8510,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x408554,None,.L00408554,@branchlabel,None,None,None,0x4,0x8554,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x408574,None,.L00408574,@branchlabel,None,None,None,0x4,0x8574,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x408590,None,.L00408590,@branchlabel,None,None,None,0x4,0x8590,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x408600,None,.L00408600,@branchlabel,None,None,None,0x4,0x8600,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x408630,None,.L00408630,@branchlabel,None,None,None,0x4,0x8630,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x40864C,None,.L0040864C,@branchlabel,None,None,None,0x4,0x864C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4086E4,None,.L004086E4,@branchlabel,None,None,None,0x4,0x86E4,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x408768,None,.L00408768,@branchlabel,None,None,None,0x4,0x8768,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x4087EC,None,.L004087EC,@branchlabel,None,None,None,0x4,0x87EC,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x408808,None,.L00408808,@branchlabel,None,None,None,0x4,0x8808,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x408860,None,.L00408860,@branchlabel,None,None,None,0x4,0x8860,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x40887C,None,.L0040887C,@branchlabel,None,None,None,0x4,0x887C,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x4088C8,None,.L004088C8,@branchlabel,None,None,None,0x4,0x88C8,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x4089E4,None,.L004089E4,@branchlabel,None,None,None,0x4,0x89E4,.text,True,False,True,False,1,None,False,False,False,False
