category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,firstLoAccess,isAutogeneratedPad,isElfNotype
symbol,0x4064AC,None,.L004064AC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x64AC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406550,None,.L00406550,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6550,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x406578,None,.L00406578,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6578,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4065E0,None,.L004065E0,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x65E0,.text,True,False,True,False,6,None,False,False,False,False,None,None,False,False
symbol,0x406608,None,.L00406608,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6608,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x406634,None,.L00406634,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6634,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40665C,None,.L0040665C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x665C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406678,None,.L00406678,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6678,.text,True,False,True,False,4,None,False,False,False,False,None,None,False,False
symbol,0x406684,None,func_00406684,None,None,SymbolSpecialType.function,@function,None,None,0xA4,0xA4,0x6684,.text,True,False,True,False,2,None,False,True,False,True,None,492,False,False
symbol,0x4066E4,None,.L004066E4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x66E4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40671C,None,.L0040671C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x671C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406728,None,func_00406728,None,None,SymbolSpecialType.function,@function,None,None,0x520,0x520,0x6728,.text,True,False,True,False,1,None,False,True,False,True,None,2912,False,False
symbol,0x40683C,None,.L0040683C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x683C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4068B0,None,.L004068B0,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x68B0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4068B4,None,.L004068B4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x68B4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4068D4,None,.L004068D4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x68D4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40693C,None,.L0040693C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x693C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40697C,None,.L0040697C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x697C,.text,True,False,True,False,7,None,False,False,False,False,None,None,False,False
symbol,0x4069C4,None,.L004069C4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x69C4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406A04,None,.L00406A04,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6A04,.text,True,False,True,False,7,None,False,False,False,False,None,None,False,False
symbol,0x406AA8,None,.L00406AA8,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6AA8,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406AF8,None,.L00406AF8,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6AF8,.text,True,False,True,False,4,None,False,False,False,False,None,None,False,False
symbol,0x406B20,None,.L00406B20,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6B20,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406B24,None,.L00406B24,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6B24,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406B6C,None,.L00406B6C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6B6C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406BBC,None,.L00406BBC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6BBC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406BFC,None,.L00406BFC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6BFC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406C2C,None,.L00406C2C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C2C,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x406C38,None,.L00406C38,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C38,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x406C3C,None,.L00406C3C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C3C,.text,True,False,True,False,3,None,False,False,False,False,None,None,False,False
symbol,0x406C48,None,func_00406C48,None,None,SymbolSpecialType.function,@function,None,None,0x3A0,0x3A0,0x6C48,.text,True,False,True,False,1,None,False,True,False,True,None,3200,False,False
symbol,0x406C90,None,.L00406C90,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C90,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406CB0,None,.L00406CB0,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6CB0,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406D30,None,.L00406D30,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6D30,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406D34,None,.L00406D34,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6D34,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406D54,None,.L00406D54,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6D54,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406DC4,None,.L00406DC4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6DC4,.text,True,False,True,False,7,None,False,False,False,False,None,None,False,False
symbol,0x406E14,None,.L00406E14,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6E14,.text,True,False,True,False,7,None,False,False,False,False,None,None,False,False
symbol,0x406EB8,None,.L00406EB8,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6EB8,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406ED4,None,.L00406ED4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6ED4,.text,True,False,True,False,3,None,False,False,False,False,None,None,False,False
symbol,0x406EFC,None,.L00406EFC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6EFC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406F00,None,.L00406F00,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6F00,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406F5C,None,.L00406F5C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6F5C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406F9C,None,.L00406F9C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6F9C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406FD8,None,.L00406FD8,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6FD8,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406FDC,None,.L00406FDC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6FDC,.text,True,False,True,False,4,None,False,False,False,False,None,None,False,False
